dolphinDialogAns1B;Przecie? powiedzia?am, ?e wszystko jest w porz?dku!!! Czy mo?esz przesta? kwestionowa? ka?de moje s?owo?! Wszyscy w tym biurze s? tacy sami!! Nie podchod? ju? dzi? do mnie!!!;But i've already told you, I am fine!!!! Can you stop questioning my every word?!! Everyone here is the same!! Don't come up to me again today!!!;;;;;;;;;;;;;
userDolphinDialog2;Hej, czy na pewno wszystko w porz?dku?;Hey, are you SURE you are okay?;;;;;;;;;;;;;
dolphinDialogChoice2A;AAAAAAAAA ZOSTAW MNIE! NIC NIE JEST W PORZ?DKU!!! Prosz? to wszystkie dowody, które mam! ZOSTAW MNIE!!;AAAAAAAAA LEAVE ME ALONE!! NOTHING IS OKAY. Here you go, all the proof i have! NOW. LEAVE. ME. ALONE.;;;;;;;;;;;;;
dolphinDefault;AAAAAAAAAAAAAAAA  Z O S T A W   M N I E !!!;AAAAAAAAA L E A V E.  M E.  A L O N E !!!;;;;;;;;;;;;;
timInit0;Cze?? Tim!;Hello Tim!;;;;;;;;;;;;;
timDialog0;Co tam u ciebie?;What's up?;;;;;;;;;;;;;
timChoice0A;Nic nowego. Cisza i spokój w archiwum.;Nothing new. Piece and quiet of the archive.;;;;;;;;;;;;;
timChoice0B;Czy mog? po?yczy? twój identyfikator?;Can I borrow your ID?;;;;;;;;;;;;;
timChoiceAns0;Okej, ale musisz przynie?? mi mój ry?. Czeka?em w?a?nie a? si? podgrzeje.;Okay, but you have to bring me my rice first. I was just waiting for it to warm up in the microwave.;;;;;;;;;;;;;
timRICE;Je?li nie przyniesiesz mi ry?u nie dam ci identyfikatora…;If you don't bring me my rice i won't give you my ID...;;;;;;;;;;;;;
timGiveRice;Prosz?, twój ry?.;Here you go, your rice.;;;;;;;;;;;;;
timThanks;Dzi?kuj?. Nie zapomnij o oddaniu mi identyfikatora przed ko?cem dnia.;Thanks. Don't forger to give me my ID back at the end of the day.;;;;;;;;;;;;;
timDefault;Nie mog? ci ju? w niczym pomóc.;I can't help you with anything else.;;;;;;;;;;;;;
